Domi Max	10	1	2	3	0	0	0	1	20	3	1	49	59	1	8	0	0	1	4.40	44	364 500€
Gallagher Brendan	10	3	3	6	0	0	0	0	28	11	11	3	3	3	0	0	0	0	7.00	70	444 000€
Kotkaniemi Jesperi	3	0	0	0	0	0	0	0	3	6	0	8	8	0	0	0	0	0	1.67	5	226 000€
Lehkonen Artturi	10	2	2	4	0	0	0	0	22	23	5	1	2	4	4	0	0	0	6.30	63	311 500€
Suzuki Nick	10	3	2	5	0	0	0	0	14	7	7	43	40	-2	2	1	0	0	5.30	53	288 000€
Tatar Tomas	10	4	7	11	0	0	0	0	26	9	2	1	2	-1	6	1	1	0	8.50	85	393 500€
Thompson Nate	10	1	1	2	0	0	0	0	14	13	11	77	60	-2	0	0	0	0	3.80	38	283 000€
Boedker Mikkel	2	0	1	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	4.50	9	210 500€
Brown Connor	11	1	3	4	0	0	0	0	21	3	8	2	4	-4	0	0	0	0	3.45	38	325 000€
Brown Logan	5	0	3	3	0	0	0	0	4	3	2	17	23	1	2	0	0	0	4.00	20	295 000€
Chlapik Filip	10	2	2	4	0	0	1	0	12	18	2	2	7	2	6	1	1	0	5.30	53	264 500€
Duclair Anthony	11	5	3	8	0	0	0	0	27	4	5	0	0	0	2	0	1	1	6.82	75	348 500€
Ennis Tyler	11	3	4	7	0	0	0	0	25	9	5	1	1	0	2	0	0	0	5.91	65	301 500€
Namestnikov Vladislav	11	2	3	5	0	1	1	0	17	15	7	4	8	0	11	0	0	0	5.36	59	380 500€
Pageau Jean-Gabriel	11	10	1	11	1	0	1	1	26	24	8	79	77	6	6	1	2	2	13.09	144	491 500€
Paul Nick	11	0	4	4	0	0	0	0	20	27	11	56	40	-2	4	0	0	0	5.73	63	339 500€
Sabourin Scott	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2.00	2	215 500€
Tierney Chris	11	0	3	3	0	0	0	0	13	8	5	79	73	-4	4	0	0	0	2.82	31	316 000€
Tkachuk Brady	11	5	2	7	0	0	1	1	37	32	5	19	22	0	4	1	0	1	8.73	96	450 500€
Andreoff Andy	6	0	1	1	0	0	0	0	8	9	3	2	4	0	0	0	0	0	2.83	17	248 000€
Couturier Sean	11	4	5	9	0	0	2	1	29	9	6	29	36	4	0	0	1	2	8.45	93	437 500€
Farabee Joel	11	2	2	4	0	0	1	0	21	6	5	0	1	-2	8	0	1	1	4.73	52	283 500€
Giroux Claude	11	5	5	10	0	1	1	0	36	12	5	131	106	2	8	0	0	2	10.09	111	511 000€
Hayes Kevin	11	1	1	2	0	0	0	0	23	21	6	77	97	-5	4	0	0	0	3.09	34	364 000€
Konecny Travis	11	2	8	10	0	0	1	0	31	6	8	18	20	5	4	0	1	1	8.27	91	431 500€
Lindblom Oskar	11	3	5	8	0	0	0	0	28	9	8	10	14	3	2	0	0	0	6.82	75	344 500€
Pitlick Tyler	10	1	1	2	0	0	0	0	10	23	5	0	0	0	0	1	0	0	4.00	40	255 000€
Raffl Michael	11	0	2	2	0	0	0	0	11	15	4	26	21	-3	0	0	0	0	2.73	30	290 000€
Stewart Chris	2	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	1.50	3	228 000€
van Riemsdyk James	11	1	2	3	0	0	0	0	21	4	2	1	1	0	2	0	0	0	3.27	36	368 000€
Voracek Jakub	11	0	4	4	0	0	0	0	16	8	3	3	3	-3	8	0	0	0	3.27	36	358 000€
